applicant_id,application_date,gender,age,education,marital_status,dependents,residence_type,years_at_current_residence,city,employment_type,industry,annual_income,years_employed,years_with_current_employer,loan_purpose,loan_amount_requested,loan_tenure_months,interest_rate,credit_score,num_credit_accounts,num_active_accounts,credit_history_months,num_delinquent_accounts,max_dpd_last_12m,num_enquiries_6m,num_enquiries_12m,total_outstanding_debt,secured_loan_percentage,num_written_off_accounts,num_settled_accounts,avg_monthly_balance,balance_volatility,avg_monthly_spending,essential_spending_pct,discretionary_spending_pct,num_bounced_checks_12m,salary_credit_regularity,num_digital_txns_monthly,cash_withdrawal_pct,min_balance_breaches_12m,emi_bounce_count_12m,debt_to_income_ratio,loan_to_income_ratio,credit_utilization,estimated_monthly_emi,emi_to_income_ratio,savings_rate,account_age_factor,default,default_probability,annual_income_standardized,avg_monthly_balance_standardized,avg_monthly_spending_standardized,loan_amount_requested_log,total_outstanding_debt_log,estimated_monthly_emi_log,loan_amount_requested_normalized,total_outstanding_debt_normalized,estimated_monthly_emi_normalized,is_salaried,is_self_employed,is_business_owner,employment_stability_score,is_secured_loan,loan_risk_score,education_score,is_married,is_home_owner,is_male,gender_normalized_MALE,education_normalized_HIGH_SCHOOL,education_normalized_MASTER,education_normalized_OTHER,education_normalized_PHD,marital_status_normalized_MARRIED,marital_status_normalized_SINGLE,marital_status_normalized_WIDOWED,residence_type_normalized_OWNED,residence_type_normalized_RENTED,residence_type_normalized_WITH_PARENTS,employment_type_normalized_FREELANCER,employment_type_normalized_RETIRED,employment_type_normalized_SALARIED,employment_type_normalized_SELF_EMPLOYED,loan_purpose_normalized_BUSINESS_LOAN,loan_purpose_normalized_CONSUMER_DURABLE,loan_purpose_normalized_CREDIT_CARD,loan_purpose_normalized_EDUCATION_LOAN,loan_purpose_normalized_HOME_LOAN,loan_purpose_normalized_PERSONAL_LOAN,loan_risk_category_LOW_RISK,loan_risk_category_MEDIUM_RISK,gender_woe,education_woe,marital_status_woe,residence_type_woe,employment_type_woe,loan_purpose_woe,city_woe,industry_woe,city_target_enc,industry_target_enc,employment_type_target_enc,loan_purpose_target_enc
APP000001,2025-03-08,Male,21.0,Bachelor,Married,2.0,Rented,3.0,Chennai,Self-Employed,Manufacturing,912000.0,8.0,4.0,Home Loan,4659000.0,120.0,7.87,725.0,2.0,2.0,78.0,1.0,90.0,4.0,7.0,660600.0,49.4,0.0,0.0,58000.0,0.131,38000.0,39.2,60.8,0.0,71.9,31.0,26.9,4.0,0.0,0.724,5.109,0.173,56200.0,0.74,0.763,6.5,0,0.1861842105263158,1.407217440550335,-0.4337249087843161,0.6154209972565252,15.354311605437244,13.400905305713035,10.936689829317784,0.2893966751758919,0.1056469798013721,0.1503250270855904,0,1,0,3,1,1,3,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.02281388753025259,-0.030478532445368987,0.003999013438422056,0.04556305914908085,0.03399163271754266,-0.0033334446337297398,0.020815201886710523,0.14652286549890908,0.1732998760842627,0.16668730325288564,0.17528325612177367,0.18347824213700992
APP000002,2025-06-29,Female,23.0,High School,Married,3.0,Rented,1.0,Bangalore,Self-Employed,Banking/Finance,553000.0,4.0,2.0,Credit Card,147000.0,12.0,36.42,656.0,3.0,2.0,0.0,0.0,0.0,2.0,5.0,163400.0,60.7,0.0,0.0,99000.0,0.091,41000.0,33.1,66.9,4.0,88.7,29.0,26.3,0.0,1.0,0.295,0.266,0.518,14800.0,0.321,2.142,0.0,1,0.1309999999999999,0.1953241208164902,0.1732912767525092,0.7837635238373223,11.898194668458824,12.003962581340351,9.60245002503719,0.0084677168295872,0.0261318748100881,0.0381906825568797,0,1,0,3,0,3,2,1,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03647880950101272,-0.029259383706893044,0.003999013438422056,0.04556305914908085,0.03399163271754266,0.14661260391149683,-0.02145756890005524,-0.09881021776624639,0.17844873208379272,0.19328800675675675,0.17788595912986158,0.1579777777777778
APP000003,2025-01-28,Female,38.0,Bachelor,Married,2.0,Rented,0.0,Jaipur,Salaried,Manufacturing,613000.0,2.0,2.0,Personal Loan,1407000.0,24.0,12.86,748.0,4.0,2.0,24.0,1.0,30.0,4.0,5.0,1310400.0,92.5,1.0,0.0,116000.0,0.05,39000.0,30.4,69.6,0.0,92.9,25.0,12.7,1.0,0.0,2.138,2.295,0.888,66800.0,1.308,2.261,2.0,0,0.2246666666666667,0.3978689653402525,0.4249809146580221,0.6715351727834575,14.156971046828328,14.085843755206414,11.109473329472568,0.0869186227507627,0.2095667610228853,0.1790357529794149,1,0,0,5,0,2,3,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.03647880950101272,-0.030478532445368987,0.003999013438422056,0.04556305914908085,-0.014861292301691881,-0.038698725711155686,-0.1180185874462384,0.14652286549890908,0.21836718749999998,0.15977024291497977,0.18777794529399097,0.18803772609819122
APP000004,2025-02-22,Male,23.0,Bachelor,Married,1.0,Owned,9.0,Mumbai,Salaried,IT/Software,243000.0,0.0,0.0,Education Loan,1064000.0,84.0,9.44,652.0,1.0,1.0,206.0,1.0,180.0,1.0,2.0,718400.0,78.7,0.0,0.0,14000.0,0.061,8000.0,53.6,46.4,0.0,78.0,46.0,15.7,3.0,0.0,2.956,4.379,0.527,17400.0,0.857,0.667,17.2,0,0.372,-0.8511575758896153,-1.085156912775055,-1.0680042685514457,13.877546888732908,13.48478318795134,9.76428295481558,0.0655625428055538,0.1148906907195061,0.0452329360780065,1,0,0,5,0,2,3,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.02281388753025259,-0.030478532445368987,0.003999013438422056,-0.022477104864267468,-0.014861292301691881,0.017693402375376803,0.08245496261094298,-0.017516076422564388,0.17349768518518516,0.1876398773006135,0.1900652314316469,0.18265298507462688
APP000005,2025-08-04,Male,46.0,Bachelor,Married,0.0,Owned,5.0,Mumbai,Freelancer,Other,251000.0,1.0,1.0,Home Loan,816000.0,300.0,8.86,806.0,3.0,1.0,41.0,0.0,0.0,0.0,1.0,884900.0,71.6,0.0,0.0,40000.0,0.127,14000.0,64.7,35.3,0.0,78.2,23.0,23.7,3.0,0.0,3.525,3.251,0.505,6800.0,0.324,1.893,3.4,0,0.0834999999999999,-0.8241515966197803,-0.7002198195078003,-0.7313192153898513,13.61217085943569,13.693231053325997,8.824824939175638,0.0501214121163065,0.1415183354923315,0.016522210184182,0,0,0,2,1,1,3,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.02281388753025259,-0.030478532445368987,0.003999013438422056,-0.022477104864267468,0.008886134342850563,-0.0033334446337297398,0.08245496261094298,0.10943360066974268,0.16863515625000003,0.1679590909090909,0.18188565891472866,0.1838588903451289
APP000006,2025-10-17,Male,34.0,Other,Married,4.0,Mortgaged,30.0,Mumbai,Salaried,Banking/Finance,191000.0,1.0,0.0,Credit Card,22000.0,12.0,34.39,614.0,2.0,2.0,71.0,1.0,30.0,1.0,3.0,577500.0,79.6,0.0,0.0,48000.0,0.152,11000.0,44.2,55.8,0.0,76.7,26.0,6.4,0.0,0.0,3.024,0.115,0.693,2200.0,0.138,3.016,5.9,0,0.2381666666666666,-1.0266964411435426,-0.5817776369640296,-0.8996617419706484,9.99884318585288,13.266465452978318,7.696667081526462,0.0006848888612166,0.0923571462841241,0.0040628385698808,1,0,0,5,0,3,1,1,1,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.02281388753025259,-0.07951157554085084,0.003999013438422056,-0.03787008099077142,-0.014861292301691881,0.14661260391149683,0.08245496261094298,-0.09881021776624639,0.16863515625000003,0.19328800675675675,0.18223649666451472,0.1579777777777778
APP000007,2025-03-05,Male,35.0,Bachelor,Married,1.0,Rented,3.0,Mumbai,Salaried,Other,506000.0,2.0,2.0,Home Loan,1859000.0,120.0,8.1,713.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,16400.0,64.7,0.0,0.0,72000.0,0.05,26000.0,65.6,34.4,0.0,84.2,29.0,13.0,1.0,0.0,0.032,3.674,0.853,22700.0,0.537,1.712,0.7,0,0.02,0.0366639926062097,-0.2264510893327172,-0.057949109066663,14.435549804627051,9.70509758756311,10.030164255362632,0.1150613286843907,0.0026227830286746,0.0595882990249187,1,0,0,5,1,1,3,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.02281388753025259,-0.030478532445368987,0.003999013438422056,0.04556305914908085,-0.014861292301691881,-0.0033334446337297398,0.08245496261094298,0.10943360066974268,0.17737955625990492,0.1649598214285714,0.18904662205914094,0.19324630755864464
APP000008,2025-01-19,Female,32.0,PhD,Divorced,1.0,Owned,2.0,Jaipur,Salaried,Manufacturing,462000.0,0.0,0.0,Education Loan,996000.0,120.0,9.2,699.0,6.0,2.0,5.0,2.0,90.0,2.0,5.0,647500.0,72.3,0.0,0.0,127000.0,0.171,21000.0,69.6,30.4,0.0,96.7,37.0,26.7,0.0,0.0,1.402,2.156,0.187,12700.0,0.331,3.291,0.4,0,0.3002499999999999,-0.1118688933778826,0.587838915655707,-0.3385199867013249,13.811503540582295,13.380875616956182,9.44943600950432,0.0613286843907602,0.103551951894321,0.0325027085590465,1,0,0,5,0,2,5,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03647880950101272,0.26212549103334104,-0.03417732446234712,-0.022477104864267468,-0.014861292301691881,0.017693402375376803,-0.1180185874462384,0.14652286549890908,0.19106549118387908,0.1708063851699279,0.18904662205914094,0.1668955773955774
APP000009,2025-10-10,Female,42.0,Master,Single,1.0,Mortgaged,1.0,Ahmedabad,Salaried,Healthcare,483000.0,0.0,0.0,Business Loan,3300000.0,84.0,15.32,783.0,2.0,1.0,40.0,0.0,0.0,2.0,3.0,151800.0,96.5,0.0,0.0,94000.0,0.113,36000.0,60.0,40.0,1.0,78.0,30.0,19.6,2.0,1.0,0.314,6.832,0.142,64300.0,1.597,2.328,3.3,0,0.1506785714285714,-0.0409781977945658,0.0992649126626524,0.5031926462026605,15.009433329466964,11.930325731537252,11.071330462204312,0.2047817695037669,0.024276735594684,0.1722643553629468,1,0,0,5,0,2,4,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03647880950101272,0.0755813819485763,0.0013297632106747921,-0.03787008099077142,-0.014861292301691881,-0.029061796703685718,-0.02907152352588435,-0.09454945290539121,0.1832813036020583,0.19876000000000002,0.1900652314316469,0.1947506329113924
APP000010,2025-06-23,Female,42.0,Master,Single,3.0,Rented,2.0,Mumbai,Salaried,IT/Software,345000.0,14.0,3.0,Home Loan,1529000.0,300.0,7.64,680.0,1.0,1.0,82.0,1.0,60.0,2.0,2.0,539200.0,97.5,0.0,0.0,35000.0,0.25,26000.0,47.9,52.1,0.0,80.3,30.0,14.1,0.0,0.0,1.563,4.432,0.164,11400.0,0.398,1.207,6.8,0,0.1383333333333333,-0.5068313401992193,-0.7742461835976571,-0.057949109066663,14.240125138933225,13.19784369317792,9.34145634983372,0.0945146628478924,0.0862319883574021,0.0289815817984832,1,0,0,5,1,1,4,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.03647880950101272,0.0755813819485763,0.0013297632106747921,0.04556305914908085,-0.014861292301691881,-0.0033334446337297398,0.08245496261094298,-0.017516076422564388,0.16863515625000003,0.18352002464571782,0.18223649666451472,0.1838588903451289
